Date,Time,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
31-12-2023,01:00:00,59,6,34,0,191,211,3
31-12-2023,02:00:00,62,6,33,1,185,225,4
31-12-2023,03:00:00,50,6,30,0,182,240,3
31-12-2023,04:00:00,52,5,27,0,176,247,3
31-12-2023,05:00:00,46,4,23,,176,249,2
31-12-2023,06:00:00,42,4,22,,172,232,2
31-12-2023,07:00:00,51,4,22,0,170,213,3
31-12-2023,08:00:00,56,4,20,,175,243,3
31-12-2023,09:00:00,42,5,25,2,180,263,2
31-12-2023,10:00:00,29,5,26,34,171,275,3
31-12-2023,11:00:00,23,4,18,95,149,286,5
31-12-2023,12:00:00,20,3,17,138,136,263,4
31-12-2023,13:00:00,16,3,16,146,124,218,4
31-12-2023,14:00:00,14,3,14,149,109,143,3
31-12-2023,15:00:00,13,3,13,162,85,92,3
31-12-2023,16:00:00,12,2,12,164,66,84,4
31-12-2023,17:00:00,12,2,10,159,57,56,3
31-12-2023,18:00:00,12,2,11,126,55,53,3
31-12-2023,19:00:00,16,3,15,84,66,55,3
31-12-2023,20:00:00,40,5,28,26,84,55,2
31-12-2023,21:00:00,76,7,40,1,104,70,3
31-12-2023,22:00:00,72,7,37,1,126,96,3
31-12-2023,23:00:00,76,7,36,1,143,129,4
01-01-2024,00:00:00,72,6,32,1,156,178,3
01-01-2024,01:00:00,72,6,30,0,164,206,4
01-01-2024,02:00:00,70,5,29,0,168,218,4
01-01-2024,03:00:00,62,5,27,0,168,245,3
01-01-2024,04:00:00,55,5,26,,171,263,3
01-01-2024,05:00:00,48,4,23,,173,290,3
01-01-2024,06:00:00,44,4,22,0,168,290,1
01-01-2024,07:00:00,50,4,22,,165,285,3
01-01-2024,08:00:00,50,4,20,0,166,293,2
01-01-2024,09:00:00,46,4,20,4,171,302,2
01-01-2024,10:00:00,30,4,23,36,172,301,3
01-01-2024,11:00:00,24,3,17,89,148,302,5
01-01-2024,12:00:00,22,3,17,144,133,294,5
01-01-2024,13:00:00,21,3,18,189,129,257,5
01-01-2024,14:00:00,18,3,16,198,118,214,3
01-01-2024,15:00:00,16,3,13,194,102,150,3
01-01-2024,16:00:00,16,2,11,246,85,99,3
01-01-2024,17:00:00,16,2,10,216,82,75,3
01-01-2024,18:00:00,18,3,13,163,84,67,3
01-01-2024,19:00:00,35,7,35,32,84,71,2
01-01-2024,20:00:00,50,8,40,5,102,76,3
01-01-2024,21:00:00,58,8,42,5,116,89,3
01-01-2024,22:00:00,68,7,39,0,124,94,4
01-01-2024,23:00:00,76,7,38,0,141,105,4
02-01-2024,00:00:00,64,6,34,0,155,133,4
02-01-2024,01:00:00,51,6,32,0,155,158,3
02-01-2024,02:00:00,50,6,30,0,147,159,3
02-01-2024,03:00:00,44,5,27,0,139,156,3
02-01-2024,04:00:00,36,5,25,0,138,172,2
02-01-2024,05:00:00,32,4,23,0,136,179,2
02-01-2024,06:00:00,29,4,20,,135,162,2
02-01-2024,07:00:00,28,3,17,0,127,153,1
02-01-2024,08:00:00,42,3,16,0,125,136,2
02-01-2024,09:00:00,36,4,18,4,133,147,2
02-01-2024,10:00:00,31,5,26,15,134,183,2
02-01-2024,11:00:00,24,4,19,,119,209,
02-01-2024,12:00:00,20,3,17,,,,
02-01-2024,13:00:00,,3,16,144,,,
02-01-2024,14:00:00,14,2,12,157,116,71,3
02-01-2024,15:00:00,16,2,9,176,120,76,5
02-01-2024,16:00:00,14,2,9,166,108,73,0
02-01-2024,17:00:00,15,2,8,147,98,68,0
02-01-2024,18:00:00,16,2,9,103,89,68,2
02-01-2024,19:00:00,26,3,17,44,97,70,4
02-01-2024,20:00:00,54,4,19,3,104,84,5
02-01-2024,21:00:00,44,5,26,1,123,103,5
02-01-2024,22:00:00,52,5,26,0,138,132,6
02-01-2024,23:00:00,68,3,16,0,155,158,7
03-01-2024,00:00:00,56,3,15,0,171,190,6
03-01-2024,01:00:00,49,3,16,,177,244,7
03-01-2024,02:00:00,40,3,15,,180,246,8
03-01-2024,03:00:00,38,2,9,,182,262,8
03-01-2024,04:00:00,32,2,9,0,174,257,8
03-01-2024,05:00:00,36,2,11,0,166,257,8
03-01-2024,06:00:00,40,1,6,,165,275,8
03-01-2024,07:00:00,38,1,4,,172,290,8
03-01-2024,08:00:00,48,0,1,,161,263,9
03-01-2024,09:00:00,50,2,18,2,175,277,10
03-01-2024,10:00:00,34,4,21,29,191,303,11
03-01-2024,11:00:00,30,4,20,69,172,307,14
03-01-2024,12:00:00,26,3,16,121,153,305,15
03-01-2024,13:00:00,22,3,15,151,131,284,15
03-01-2024,14:00:00,20,3,13,158,122,243,13
03-01-2024,15:00:00,18,2,11,162,114,185,13
03-01-2024,16:00:00,16,2,9,161,111,171,12
03-01-2024,17:00:00,16,2,9,145,108,150,11
03-01-2024,18:00:00,18,3,13,66,100,119,9
03-01-2024,19:00:00,34,4,23,22,97,117,8
03-01-2024,20:00:00,66,7,36,1,111,98,8
03-01-2024,21:00:00,70,7,39,1,138,131,9
03-01-2024,22:00:00,69,8,43,0,156,165,10
03-01-2024,23:00:00,64,8,43,0,169,188,12
04-01-2024,00:00:00,55,7,39,0,178,223,12
04-01-2024,01:00:00,46,6,33,,181,238,13
04-01-2024,02:00:00,40,5,28,,178,251,13
04-01-2024,03:00:00,37,5,25,,172,221,13
04-01-2024,04:00:00,32,4,23,,166,232,12
04-01-2024,05:00:00,32,4,21,,162,224,11
04-01-2024,06:00:00,32,4,21,,164,238,9
04-01-2024,07:00:00,32,4,18,,163,238,8
04-01-2024,08:00:00,42,4,22,,159,254,8
04-01-2024,09:00:00,38,4,21,1,170,282,8
04-01-2024,10:00:00,30,4,23,24,174,272,8
04-01-2024,11:00:00,32,5,24,70,155,277,11
04-01-2024,12:00:00,30,4,22,146,156,308,13
04-01-2024,13:00:00,24,4,18,157,163,308,15
04-01-2024,14:00:00,20,3,16,155,158,303,14
04-01-2024,15:00:00,16,2,12,125,140,283,12
04-01-2024,16:00:00,16,2,11,89,123,205,11
04-01-2024,17:00:00,14,2,10,70,109,107,8
04-01-2024,18:00:00,16,3,15,34,80,83,6
04-01-2024,19:00:00,42,5,28,6,80,77,6
04-01-2024,20:00:00,52,7,35,1,103,80,5
04-01-2024,21:00:00,82,8,45,1,124,92,7
04-01-2024,22:00:00,92,10,51,0,138,95,9
04-01-2024,23:00:00,66,9,46,0,149,126,11
05-01-2024,00:00:00,60,8,42,0,153,145,12
05-01-2024,01:00:00,56,7,39,,155,158,13
05-01-2024,02:00:00,46,7,35,,149,178,13
05-01-2024,03:00:00,40,6,32,,148,189,14
05-01-2024,04:00:00,34,6,30,,142,166,12
05-01-2024,05:00:00,32,5,28,,137,160,11
