Year,Month,Day,Date,AQI,AQI_Category_Indian_GOV
2017,1,1,01-01-2017,,Unknown
2017,1,2,02-01-2017,,Unknown
2017,1,3,03-01-2017,,Unknown
2017,1,4,04-01-2017,,Unknown
2017,1,5,05-01-2017,,Unknown
2017,1,6,06-01-2017,,Unknown
2017,1,7,07-01-2017,,Unknown
2017,1,8,08-01-2017,,Unknown
2017,1,9,09-01-2017,,Unknown
2017,1,10,10-01-2017,,Unknown
2017,1,11,11-01-2017,,Unknown
2017,1,12,12-01-2017,,Unknown
2017,1,13,13-01-2017,,Unknown
2017,1,14,14-01-2017,,Unknown
2017,1,15,15-01-2017,,Unknown
2017,1,16,16-01-2017,,Unknown
2017,1,17,17-01-2017,,Unknown
2017,1,18,18-01-2017,,Unknown
2017,1,19,19-01-2017,,Unknown
2017,1,20,20-01-2017,,Unknown
2017,1,21,21-01-2017,,Unknown
2017,1,22,22-01-2017,,Unknown
2017,1,23,23-01-2017,,Unknown
2017,1,24,24-01-2017,,Unknown
2017,1,25,25-01-2017,,Unknown
2017,1,26,26-01-2017,,Unknown
2017,1,27,27-01-2017,,Unknown
2017,1,28,28-01-2017,,Unknown
2017,1,29,29-01-2017,,Unknown
2017,1,30,30-01-2017,,Unknown
2017,1,31,31-01-2017,,Unknown
2017,2,1,01-02-2017,,Unknown
2017,2,2,02-02-2017,,Unknown
2017,2,3,03-02-2017,,Unknown
2017,2,4,04-02-2017,,Unknown
2017,2,5,05-02-2017,,Unknown
2017,2,6,06-02-2017,,Unknown
2017,2,7,07-02-2017,,Unknown
2017,2,8,08-02-2017,,Unknown
2017,2,9,09-02-2017,,Unknown
2017,2,10,10-02-2017,,Unknown
2017,2,11,11-02-2017,,Unknown
2017,2,12,12-02-2017,,Unknown
2017,2,13,13-02-2017,,Unknown
2017,2,14,14-02-2017,,Unknown
2017,2,15,15-02-2017,,Unknown
2017,2,16,16-02-2017,,Unknown
2017,2,17,17-02-2017,,Unknown
2017,2,18,18-02-2017,,Unknown
2017,2,19,19-02-2017,,Unknown
2017,2,20,20-02-2017,,Unknown
2017,2,21,21-02-2017,,Unknown
2017,2,22,22-02-2017,,Unknown
2017,2,23,23-02-2017,,Unknown
2017,2,24,24-02-2017,,Unknown
2017,2,25,25-02-2017,,Unknown
2017,2,26,26-02-2017,,Unknown
2017,2,27,27-02-2017,,Unknown
2017,2,28,28-02-2017,,Unknown
2017,3,1,01-03-2017,,Unknown
2017,3,2,02-03-2017,,Unknown
2017,3,3,03-03-2017,,Unknown
2017,3,4,04-03-2017,,Unknown
2017,3,5,05-03-2017,,Unknown
2017,3,6,06-03-2017,,Unknown
2017,3,7,07-03-2017,,Unknown
2017,3,8,08-03-2017,,Unknown
2017,3,9,09-03-2017,,Unknown
2017,3,10,10-03-2017,,Unknown
2017,3,11,11-03-2017,,Unknown
2017,3,12,12-03-2017,,Unknown
2017,3,13,13-03-2017,,Unknown
2017,3,14,14-03-2017,,Unknown
2017,3,15,15-03-2017,,Unknown
2017,3,16,16-03-2017,,Unknown
2017,3,17,17-03-2017,,Unknown
2017,3,18,18-03-2017,,Unknown
2017,3,19,19-03-2017,,Unknown
2017,3,20,20-03-2017,,Unknown
2017,3,21,21-03-2017,,Unknown
2017,3,22,22-03-2017,,Unknown
2017,3,23,23-03-2017,,Unknown
2017,3,24,24-03-2017,,Unknown
2017,3,25,25-03-2017,,Unknown
2017,3,26,26-03-2017,,Unknown
2017,3,27,27-03-2017,,Unknown
2017,3,28,28-03-2017,,Unknown
2017,3,29,29-03-2017,,Unknown
2017,3,30,30-03-2017,,Unknown
2017,3,31,31-03-2017,,Unknown
2017,4,1,01-04-2017,,Unknown
2017,4,2,02-04-2017,,Unknown
2017,4,3,03-04-2017,,Unknown
2017,4,4,04-04-2017,,Unknown
2017,4,5,05-04-2017,,Unknown
2017,4,6,06-04-2017,,Unknown
2017,4,7,07-04-2017,,Unknown
2017,4,8,08-04-2017,,Unknown
2017,4,9,09-04-2017,,Unknown
2017,4,10,10-04-2017,,Unknown
2017,4,11,11-04-2017,,Unknown
2017,4,12,12-04-2017,,Unknown
2017,4,13,13-04-2017,,Unknown
2017,4,14,14-04-2017,,Unknown
2017,4,15,15-04-2017,,Unknown
2017,4,16,16-04-2017,,Unknown
2017,4,17,17-04-2017,,Unknown
2017,4,18,18-04-2017,,Unknown
2017,4,19,19-04-2017,,Unknown
2017,4,20,20-04-2017,,Unknown
2017,4,21,21-04-2017,,Unknown
2017,4,22,22-04-2017,,Unknown
2017,4,23,23-04-2017,,Unknown
2017,4,24,24-04-2017,,Unknown
2017,4,25,25-04-2017,,Unknown
2017,4,26,26-04-2017,,Unknown
2017,4,27,27-04-2017,,Unknown
2017,4,28,28-04-2017,,Unknown
2017,4,29,29-04-2017,,Unknown
2017,4,30,30-04-2017,,Unknown
2017,5,1,01-05-2017,,Unknown
2017,5,2,02-05-2017,,Unknown
2017,5,3,03-05-2017,,Unknown
2017,5,4,04-05-2017,,Unknown
2017,5,5,05-05-2017,,Unknown
2017,5,6,06-05-2017,,Unknown
2017,5,7,07-05-2017,,Unknown
2017,5,8,08-05-2017,,Unknown
2017,5,9,09-05-2017,,Unknown
2017,5,10,10-05-2017,,Unknown
2017,5,11,11-05-2017,,Unknown
2017,5,12,12-05-2017,,Unknown
2017,5,13,13-05-2017,,Unknown
2017,5,14,14-05-2017,,Unknown
2017,5,15,15-05-2017,,Unknown
2017,5,16,16-05-2017,,Unknown
2017,5,17,17-05-2017,,Unknown
2017,5,18,18-05-2017,,Unknown
2017,5,19,19-05-2017,,Unknown
2017,5,20,20-05-2017,,Unknown
2017,5,21,21-05-2017,,Unknown
2017,5,22,22-05-2017,,Unknown
2017,5,23,23-05-2017,,Unknown
