Date,Year,Month,Day,Time,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI,AQI_Category_Indian_GOV
01-01-2020,2024,1,1,17:00:00,16,2,10,216,82,75,3,142,Moderate
01-01-2020,2024,1,1,18:00:00,18,3,13,163,84,67,3,142,Moderate
01-01-2020,2024,1,1,19:00:00,35,7,35,32,84,71,2,142,Moderate
01-01-2020,2024,1,1,20:00:00,50,8,40,5,102,76,3,142,Moderate
01-01-2020,2024,1,1,21:00:00,58,8,42,5,116,89,3,142,Moderate
01-01-2020,2024,1,1,22:00:00,68,7,39,0,124,94,4,142,Moderate
01-01-2020,2024,1,1,23:00:00,76,7,38,0,141,105,4,142,Moderate
01-01-2020,2024,1,1,10:00:00,30,4,23,36,172,301,3,142,Moderate
01-01-2020,2024,1,1,11:00:00,24,3,17,89,148,302,5,142,Moderate
01-01-2020,2024,1,1,12:00:00,22,3,17,144,133,294,5,142,Moderate
01-01-2020,2024,1,1,00:00:00,72,6,32,1,156,178,3,142,Moderate
01-01-2020,2024,1,1,01:00:00,72,6,30,0,164,206,4,142,Moderate
01-01-2020,2024,1,1,02:00:00,70,5,29,0,168,218,4,142,Moderate
01-01-2020,2024,1,1,03:00:00,62,5,27,0,168,245,3,142,Moderate
01-01-2020,2024,1,1,04:00:00,55,5,26,24,171,263,3,142,Moderate
01-01-2020,2024,1,1,05:00:00,48,4,23,24,173,290,3,142,Moderate
01-01-2020,2024,1,1,06:00:00,44,4,22,0,168,290,1,142,Moderate
01-01-2020,2024,1,1,07:00:00,50,4,22,24,165,285,3,142,Moderate
01-01-2020,2024,1,1,08:00:00,50,4,20,0,166,293,2,142,Moderate
01-01-2020,2024,1,1,09:00:00,46,4,20,4,171,302,2,142,Moderate
01-01-2020,2024,1,1,14:00:00,18,3,16,198,118,214,3,142,Moderate
01-01-2020,2024,1,1,15:00:00,16,3,13,194,102,150,3,142,Moderate
01-01-2020,2024,1,1,16:00:00,16,2,11,246,85,99,3,142,Moderate
01-01-2020,2024,1,1,13:00:00,21,3,18,189,129,257,5,142,Moderate
01-01-2020,2022,1,1,17:00:00,16,2,10,216,82,75,3,160,Moderate
01-01-2020,2022,1,1,18:00:00,18,3,13,163,84,67,3,160,Moderate
01-01-2020,2022,1,1,19:00:00,35,7,35,32,84,71,2,160,Moderate
01-01-2020,2022,1,1,20:00:00,50,8,40,5,102,76,3,160,Moderate
01-01-2020,2022,1,1,21:00:00,58,8,42,5,116,89,3,160,Moderate
01-01-2020,2022,1,1,22:00:00,68,7,39,0,124,94,4,160,Moderate
01-01-2020,2022,1,1,23:00:00,76,7,38,0,141,105,4,160,Moderate
01-01-2020,2022,1,1,10:00:00,30,4,23,36,172,301,3,160,Moderate
01-01-2020,2022,1,1,11:00:00,24,3,17,89,148,302,5,160,Moderate
01-01-2020,2022,1,1,12:00:00,22,3,17,144,133,294,5,160,Moderate
01-01-2020,2022,1,1,00:00:00,72,6,32,1,156,178,3,160,Moderate
01-01-2020,2022,1,1,01:00:00,72,6,30,0,164,206,4,160,Moderate
01-01-2020,2022,1,1,02:00:00,70,5,29,0,168,218,4,160,Moderate
01-01-2020,2022,1,1,03:00:00,62,5,27,0,168,245,3,160,Moderate
01-01-2020,2022,1,1,04:00:00,55,5,26,24,171,263,3,160,Moderate
01-01-2020,2022,1,1,05:00:00,48,4,23,24,173,290,3,160,Moderate
01-01-2020,2022,1,1,06:00:00,44,4,22,0,168,290,1,160,Moderate
01-01-2020,2022,1,1,07:00:00,50,4,22,24,165,285,3,160,Moderate
01-01-2020,2022,1,1,08:00:00,50,4,20,0,166,293,2,160,Moderate
01-01-2020,2022,1,1,09:00:00,46,4,20,4,171,302,2,160,Moderate
01-01-2020,2022,1,1,14:00:00,18,3,16,198,118,214,3,160,Moderate
01-01-2020,2022,1,1,15:00:00,16,3,13,194,102,150,3,160,Moderate
01-01-2020,2022,1,1,16:00:00,16,2,11,246,85,99,3,160,Moderate
01-01-2020,2022,1,1,13:00:00,21,3,18,189,129,257,5,160,Moderate
01-01-2020,2023,1,1,17:00:00,16,2,10,216,82,75,3,94,Unknown
01-01-2020,2023,1,1,18:00:00,18,3,13,163,84,67,3,94,Unknown
01-01-2020,2023,1,1,19:00:00,35,7,35,32,84,71,2,94,Unknown
01-01-2020,2023,1,1,20:00:00,50,8,40,5,102,76,3,94,Unknown
01-01-2020,2023,1,1,21:00:00,58,8,42,5,116,89,3,94,Unknown
01-01-2020,2023,1,1,22:00:00,68,7,39,0,124,94,4,94,Unknown
01-01-2020,2023,1,1,23:00:00,76,7,38,0,141,105,4,94,Unknown
01-01-2020,2023,1,1,10:00:00,30,4,23,36,172,301,3,94,Unknown
01-01-2020,2023,1,1,11:00:00,24,3,17,89,148,302,5,94,Unknown
01-01-2020,2023,1,1,12:00:00,22,3,17,144,133,294,5,94,Unknown
01-01-2020,2023,1,1,00:00:00,72,6,32,1,156,178,3,94,Unknown
